iter	Passed	Remaining
0	0	66
1	1	59
2	1	56
3	2	51
4	2	51
5	3	50
6	3	49
7	4	48
8	4	48
9	5	47
10	5	46
11	6	46
12	6	45
13	7	44
14	7	44
15	8	43
16	8	43
17	9	43
18	10	42
19	10	42
20	11	41
21	11	41
22	12	40
23	12	39
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	35
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	22	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	23
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	40	8
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	44	4
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	48	1
97	48	0
98	49	0
99	49	0
